benchmark	family	bucket	category	n	mean_projection	sd_projection
livebench_reasoning	gemma4	p01	preserve	6	2.182738824128571	7.266541731168337
livebench_reasoning	gemma4	p01	trace_rescue	1	-9.234840298739917	0.0
livebench_reasoning	gemma4	p01	trace_damage	12	-17.43706040589382	33.43684581212836
livebench_reasoning	gemma4	p01	persistent_fail	10	-39.38769660048829	4.998273672358139
livebench_reasoning	gemma4	p02	preserve	5	4.575601742189215	11.31048161782335
livebench_reasoning	gemma4	p02	trace_rescue	1	-8.398525990607295	0.0
livebench_reasoning	gemma4	p02	trace_damage	13	-15.177859389718217	35.58744754796625
livebench_reasoning	gemma4	p02	persistent_fail	10	-31.613733968355575	26.152984448213243
livebench_reasoning	gemma4	p03	preserve	10	8.142024574217753	35.30133354506735
livebench_reasoning	gemma4	p03	trace_rescue	1	-11.184875154002635	0.0
livebench_reasoning	gemma4	p03	trace_damage	8	-30.22910104717733	20.553199641944765
livebench_reasoning	gemma4	p03	persistent_fail	10	-30.414171408322733	27.08105887014228
livebench_reasoning	gemma4	p04-05	preserve	17	26.877047423224386	39.219037316732084
livebench_reasoning	gemma4	p04-05	trace_rescue	1	-12.925632029213304	0.0
livebench_reasoning	gemma4	p04-05	trace_damage	19	-22.070710637437493	24.310044071864382
livebench_reasoning	gemma4	p04-05	persistent_fail	19	-29.193246243409895	23.89383479832744
livebench_reasoning	gemma4	p06-10	preserve	47	56.811602448813716	34.66048980027582
livebench_reasoning	gemma4	p06-10	trace_rescue	7	46.0239433080066	54.38845448678639
livebench_reasoning	gemma4	p06-10	trace_damage	27	-1.1654137625606202	37.02935157777558
livebench_reasoning	gemma4	p06-10	persistent_fail	38	2.3243262855282745	44.997345405232636
livebench_reasoning	gemma4	p11-20	preserve	56	66.20473136666054	30.06545142189867
livebench_reasoning	gemma4	p11-20	trace_rescue	1	105.43106405650092	0.0
livebench_reasoning	gemma4	p11-20	trace_damage	16	38.03592934556584	29.29067851322331
livebench_reasoning	gemma4	p11-20	persistent_fail	35	51.25325579157273	26.711872185744504
livebench_reasoning	gemma4	p21-50	preserve	19	76.7182094321406	23.497031846761157
livebench_reasoning	gemma4	p21-50	trace_damage	2	55.38003094121677	56.39204987440446
livebench_reasoning	gemma4	p21-50	persistent_fail	10	66.71023973410033	10.053977730459945
