model_name,n_questions,accuracy,mean_reported_confidence,mean_behavioral_confidence,mean_gap,mean_absolute_gap,ece,brier_acc,brier_internal,overconfidence_rate
Gemma-3-4B,400,0.4875,0.8403,0.9413,-0.101,0.1594,0.3535,0.3613,0.0346,0.1575
Gemma-3-12B,400,0.66,0.8345,0.9718,-0.1372,0.1554,0.1745,0.242,0.0314,0.0575
Gemma-3-27B,400,0.725,0.8207,0.9807,-0.16,0.1688,0.0957,0.194,0.0352,0.03
Qwen-3.5-27B,60,0.9,0.9375,0.982,-0.0445,0.0617,0.1044,0.0722,0.0078,0.05
Qwen-3.5-35B-A3B,60,0.9,0.9313,0.8952,0.0361,0.0715,0.0916,0.0651,0.01,0.5167
Qwen-3.5-122B-A10B,60,0.9167,0.9385,0.9883,-0.0498,0.0608,0.0874,0.0637,0.0062,0.0333
Qwen-3.5-397B-A17B,60,0.9167,0.9427,0.9933,-0.0506,0.0579,0.0905,0.0592,0.0064,0.0167
Llama-4-Scout,59,0.8983,0.8716,0.9651,-0.0935,0.1177,0.0368,0.0829,0.0238,0.0847
Llama-4-Maverick,60,0.8833,0.9137,0.9683,-0.0546,0.0768,0.04,0.0843,0.0126,0.0667
GPT-OSS-20B,60,0.8333,0.8171,0.9133,-0.0963,0.1502,0.0803,0.1159,0.0263,0.15
GPT-OSS-120B,60,0.85,0.8431,0.9557,-0.1126,0.1408,0.1293,0.0946,0.0253,0.0667
